Valor	Superf	Dorm	Banys	Edat	Estat	Planta	Dist	ValSol	Tipus	Ascens	ExtInt	Reforma
36763200	230	4	1	100	2_M	Planta	Ciutat_Vella	106679.2	MANZ	SI	EXT	RECIENREF
16493400	117.81	4	1	75	1_MM	Atic	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
32400000	144	3	1	160	3_N	Planta	Ciutat_Vella	119965.1	MANZ	SI	EXT	REF1A5
6939660	37.31	1	1	99	2_M	Planta	Ciutat_Vella	100036.25	MANZ	NO	INT	RECIENREF
14450000	85	3	1	100	1_MM	Planta	Ciutat_Vella	133251	MANZ	NO	EXT	SINREFORMA
15576000	88	2	2	150	3_N	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF1A5
7000650	29.79	1	1	70	2_M	Planta	Ciutat_Vella	153179.85	MANZ	NO	EXT	REF1A5
15415400	140.14	3	1	70	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF5A10
80126080	475.3	5	2	289	1_MM	Planta	Ciutat_Vella	166465.75	MANZ	NO	EXT	RECIENREF
15190944	102.85	3	1	209	1_MM	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF>20
6243200	39.02	1	1	150	2_M	Planta	Ciutat_Vella	119965.1	MANZ	NO	EXT	REF15-20
15400916	85.82	3	1	38	3_N	Bajos	Ciutat_Vella	93393.3	MANZ	SI	EXT	RECIENREF
7321600	51.2	3	1	150	2_M	Planta	Ciutat_Vella	80107.4	MANZ	NO	INT	REF>20
7790000	38	2	1	40	3_N	Planta	Ciutat_Vella	126608.05	MANZ	NO	EXT	REF1A5
9000000	45	1	1	100	2_M	Planta	Ciutat_Vella	126608.05	MANZ	NO	EXT	REF5A10
7527096	42.55	1	1	130	3_N	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF1A5
6270800	40	2	1	90	2_M	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF1A5
7024154	37	1	1	84	3_N	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF1A5
6714012	39.5	2	1	98	2_M	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	RECIENREF
31410640	172	3	2	98	1_MM	Planta	Ciutat_Vella	133251	MANZ	SI	EXT	REF5A10
8540480	40	1	1	30	3_N	Planta	Ciutat_Vella	106679.2	MANZ	SI	INT	REF1A5
5077500	33.85	1	1	80	1_MM	Atic	Ciutat_Vella	90736.12	MANZ	NO	INT	REF15-20
6460000	34	2	1	50	3_N	Planta	Ciutat_Vella	119965.1	MANZ	NO	EXT	REF1A5
8359988	45.5	1	1	50	3_N	Atic	Ciutat_Vella	113322.15	MANZ	NO	EXT	RECIENREF
7009600	40	1	1	90	2_M	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF1A5
13916448	81	4	1	26	1_MM	Atic	Ciutat_Vella	93393.3	MANZ	SI	EXT	SINREFORMA
7484100	38.38	2	1	90	3_N	Planta	Ciutat_Vella	119965.1	MANZ	NO	EXT	REF1A5
8075096	37.78	2	1	90	3_N	Planta	Ciutat_Vella	139893.95	MANZ	NO	EXT	REF1A5
6150000	30	1	1	40	4_B	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF1A5
4519680	44	2	1	100	1_MM	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	REF>20
10171200	60	3	1	98	1_MM	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF>20
15052000	106	3	2	129	1_MM	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	REF1A5
6300000	36	1	1	70	1_MM	Bajos	Ciutat_Vella	113322.15	BLOQ	NO	EXT	SINREFORMA
13622252	66.45	1	1	100	4_B	Planta	Ciutat_Vella	126608.05	MANZ	SI	EXT	RECIENREF
8049080	46	3	1	90	1_MM	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF5A10
5022656	36.85	1	1	70	2_M	Planta	Ciutat_Vella	69478.68	MANZ	NO	EXT	REF1A5
11566800	75.6	3	1	60	2_M	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	REF10-15
12738004	77.2	3	1	40	3_N	Planta	Ciutat_Vella	80107.4	MANZ	SI	EXT	REF5A10
16810000	82	3	1	21	2_M	Planta	Ciutat_Vella	133251	BLOQ	SI	EXT	REF5A10
7989120	57	3	1	80	1_MM	Atic	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF>20
10080000	56	3	1	90	1_MM	Planta	Ciutat_Vella	113322.15	MANZ	NO	EXT	REF15-20
6825000	35	2	1	55	1_MM	Planta	Ciutat_Vella	146536.9	MANZ	NO	EXT	REF10-15
9360000	52	1	1	100	1_MM	Planta	Ciutat_Vella	126608.05	MANZ	NO	EXT	SINREFORMA
8202636	51	2	1	42	1_MM	Atic	Ciutat_Vella	100036.25	MANZ	NO	EXT	SINREFORMA
7618000	40	1	1	80	3_N	Atic	Ciutat_Vella	93393.3	MANZ	NO	EXT	RECIENREF
6247500	42	2	1	90	1_MM	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF>20
12059880	73.25	3	2	38	2_M	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF5A10
6300000	36	1	1	70	1_MM	Bajos	Ciutat_Vella	113322.15	BLOQ	NO	EXT	SINREFORMA
8058000	34	1	1	30	4_B	Atic	Ciutat_Vella	126608.05	MANZ	NO	EXT	RECIENREF
7433802	47.96	1	1	60	3_N	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	REF5A10
4819100	37.07	1	1	125	1_MM	Planta	Ciutat_Vella	119965.1	MANZ	NO	EXT	REF>20
11610996	136.6	2	1	130	1_MM	Planta	Ciutat_Vella	77450.22	MANZ	NO	EXT	SINREFORMA
10750000	43	2	1	65	3_N	Bajos	Ciutat_Vella	153179.85	MANZ	NO	EXT	REF1A5
14525000	83	3	2	150	2_M	Planta	Ciutat_Vella	89407.53	MANZ	NO	EXT	REF1A5
12890800	67	3	1	80	3_N	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF1A5
13755040	68	3	1	29	2_M	Planta	Ciutat_Vella	106679.2	MANZ	SI	EXT	REF5A10
12240000	72	4	1	90	3_N	Planta	Ciutat_Vella	100036.25	MANZ	NO	EXT	REF1A5
11025000	73.5	3	1	70	1_MM	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	REF10-15
8450000	65	2	1	150	1_MM	Planta	Ciutat_Vella	100036.25	MANZ	NO	INT	REF>20
3283200	60	2	1	198	1_MM	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	SINREFORMA
8100000	45	1	1	151	2_M	Planta	Ciutat_Vella	104022.02	MANZ	NO	INT	REF1A5
14800000	80	3	1	60	2_M	Planta	Ciutat_Vella	113322.15	MANZ	NO	EXT	REF5A10
10825100	55	2	1	35	3_N	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF1A5
9635000	41	1	1	75	2_M	Planta	Ciutat_Vella	166465.75	BLOQ	NO	EXT	REF5A10
5466240	36	2	1	100	1_MM	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF>20
10081500	42.9	2	1	75	2_M	Planta	Ciutat_Vella	153179.85	BLOQ	NO	EXT	REF1A5
5065020	57	2	1	90	1_MM	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	REF>20
13695000	83	1	1	70	3_N	Planta	Ciutat_Vella	86750.35	MANZ	NO	INT	REF1A5
11305000	66.5	3	1	45	3_N	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	REF5A10
9005220	91.89	2	1	121	1_MM	Planta	Ciutat_Vella	102029.135	MANZ	NO	EXT	REF>20
3007368	40.95	1	1	121	1_MM	Planta	Ciutat_Vella	100036.25	MANZ	NO	EXT	REF>20
9450000	37.8	2	1	60	1_MM	Planta	Ciutat_Vella	157165.62	MANZ	NO	EXT	REF10-15
18060000	105	4	2	150	2_M	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF1A5
10136000	36.2	1	1	90	2_M	Atic	Ciutat_Vella	146536.9	MANZ	NO	EXT	REF1A5
11643800	83.17	3	1	90	2_M	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	REF>20
8050000	35	1	1	50	4_B	Bajos	Ciutat_Vella	126608.05	MANZ	NO	EXT	RECIENREF
17562560	123.68	3	1	50	1_MM	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF>20
17964496	115.9	3	2	80	1_MM	Planta	Ciutat_Vella	100036.25	MANZ	NO	EXT	REF1A5
12847104	64	1	1	2	5_MB	Planta	Ciutat_Vella	100036.25	MANZ	SI	EXT	SINREFORMA
7301658	43	2	1	90	1_MM	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF1A5
40391104	172	1	2	91	2_M	Planta	Ciutat_Vella	133251	MANZ	SI	EXT	REF1A5
7585000	41	2	1	90	2_M	Planta	Ciutat_Vella	113322.15	MANZ	NO	EXT	REF1A5
17100000	95	4	2	40	2_M	Planta	Sants	113322.15	MANZ	SI	EXT	REF10-15
15242500	87.1	3	1	30	2_M	Planta	Sants	106679.2	MANZ	SI	EXT	REF10-15
8553840	58	1	1	119	1_MM	Planta	Sants	106679.2	MANZ	NO	INT	REF5A10
13485000	87	3	1	35	2_M	Planta	Sants	106679.2	MANZ	SI	EXT	REF1A5
15351556	106	3	1	35	1_MM	Planta	Sants	106679.2	MANZ	SI	EXT	SINREFORMA
20578560	128	4	2	35	2_M	Planta	Sants	106679.2	MANZ	SI	EXT	REF5A10
10985500	63.5	2	1	97	1_MM	Planta	Sants	102693.43	MANZ	NO	EXT	REF1A5
10325000	59	1	1	65	2_M	Planta	Sants	106679.2	MANZ	NO	EXT	REF1A5
15587900	97.63	3	1	35	2_M	Planta	Sants	106679.2	MANZ	SI	EXT	REF1A5
12931432	89	3	1	35	1_MM	Planta	Sants	106679.2	MANZ	SI	EXT	SINREFORMA
14734116	60.1	2	1	24	3_N	Atic	Sants	133251	MANZ	SI	EXT	REF1A5
8094810	57.41	2	1	70	1_MM	Planta	Sants	106679.2	MANZ	NO	EXT	REF>20
7650000	51	1	1	110	1_MM	Planta	Sants	100036.25	MANZ	NO	INT	REF1A5
18564000	88.4	3	1	60	3_N	Planta	Sants	133251	MANZ	SI	EXT	REF1A5
15130000	89	3	1	40	2_M	Planta	Sants	100036.25	MANZ	SI	EXT	SINREFORMA
13047936	70.66	3	2	70	3_N	Planta	Sants	100036.25	MANZ	NO	EXT	RECIENREF
13038740	67.21	3	1	30	3_N	Planta	Sants	106679.2	MANZ	SI	INT	REF1A5
11461000	78.5	3	1	65	1_MM	Planta	Sants	100036.25	MANZ	NO	EXT	REF>20
9596900	50.51	2	1	50	2_M	Atic	Sants	126608.05	MANZ	SI	EXT	REF5A10
10036000	52	2	1	28	3_N	Planta	Sants	102693.43	MANZ	SI	EXT	RECIENREF
20300000	116	4	1	45	2_M	Planta	Sants	104022.02	MANZ	SI	EXT	REF5A10
14400000	80	3	1	60	2_M	Planta	Sants	113322.15	MANZ	SI	EXT	SINREFORMA
11069600	54.8	2	1	90	4_B	Planta	Sants	93393.3	MANZ	NO	EXT	RECIENREF
7650000	51	1	1	75	1_MM	Planta	Sants	102693.43	MANZ	NO	EXT	REF>20
12035000	72.5	3	1	67	2_M	Planta	Sants	100036.25	MANZ	NO	EXT	REF10-15
21060000	117	3	2	20	3_N	Atic	Sants	93393.3	MANZ	SI	INT	REF1A5
11644000	82	2	1	70	2_M	Planta	Sants	93393.3	MANZ	NO	INT	REF1A5
17922000	87	3	1	32	3_N	Planta	Sants	126608.05	MANZ	SI	INT	REF1A5
13117592	69	3	1	33	3_N	Planta	Sants	100036.25	MANZ	SI	INT	REF1A5
13161872	76.97	3	1	31	3_N	Planta	Sants	93393.3	MANZ	SI	EXT	REF5A10
13068000	72.6	3	1	16	3_N	Planta	Sants	93393.3	MANZ	SI	EXT	REF1A5
14015656	95.67	4	1	60	1_MM	Planta	Sants	106679.2	MANZ	SI	EXT	REF>20
7252000	49	2	1	50	1_MM	Planta	Sants	100036.25	MANZ	NO	EXT	REF1A5
7920000	40	2	1	60	3_N	Planta	Sants	126608.05	MANZ	NO	EXT	REF1A5
16575000	65	2	1	4	4_B	Planta	Sants	153179.85	BLOQ	SI	EXT	SINREFORMA
20350000	110	4	2	30	2_M	Planta	Sants	106679.2	MANZ	SI	EXT	REF5A10
17922000	87	3	1	32	3_N	Planta	Sants	126608.05	MANZ	SI	INT	REF1A5
18040000	82	3	1	21	4_B	Planta	Sants	119965.1	MANZ	SI	EXT	REF1A5
14040000	72	3	1	31	2_M	Planta	Sants	119965.1	MANZ	SI	INT	REF10-15
16687200	65.44	2	1	4	4_B	Planta	Sants	153179.85	MANZ	SI	EXT	SINREFORMA
14880460	94.78	3	1	60	1_MM	Bajos	Sants	113322.15	MANZ	NO	EXT	SINREFORMA
15387396	75.8	2	2	50	4_B	Atic	Sants	86750.35	MANZ	SI	EXT	REF1A5
14472000	80.4	3	1	25	2_M	Atic	Ciutat_Vella	104022.02	MANZ	SI	EXT	REF5A10
6696494	35.06	3	2	125	3_N	Bajos	Sants	100036.25	MANZ	NO	EXT	RECIENREF
20025000	89	3	1	20	3_N	Planta	Sants	119965.1	MANZ	SI	EXT	REF1A5
9794900	47.78	1	1	67	3_N	Planta	Sants	106679.2	MANZ	SI	INT	RECIENREF
12362236	71	3	1	36	1_MM	Planta	Sants	106679.2	MANZ	SI	EXT	REF5A10
10234000	47.6	2	1	60	4_B	Planta	Sants	105350.61	MANZ	NO	EXT	RECIENREF
17038072	90.5	3	2	19	3_N	Planta	Sants	93393.3	MANZ	SI	EXT	REF1A5
11040000	60	2	1	90	3_N	Bajos	Sants	104022.02	MANZ	NO	INT	RECIENREF
8250000	55	2	1	60	3_N	Planta	Sants	76121.63	MANZ	NO	INT	REF5A10
14520000	66	1	1	25	3_N	Atic	Ciutat_Vella	113322.15	BLOQ	SI	EXT	SINREFORMA
15375000	123	4	2	70	1_MM	Bajos	Sants	73464.45	BLOQ	NO	EXT	REF1A5
18310496	90	4	1	32	3_N	Atic	Sants	106679.2	MANZ	SI	INT	REF1A5
10140000	60	3	1	90	3_N	Planta	Sants	100036.25	MANZ	NO	EXT	REF1A5
11895000	61	2	1	75	2_M	Planta	Sants	126608.05	MANZ	NO	EXT	REF5A10
11700000	78	2	1	80	2_M	Planta	Sants	100036.25	MANZ	NO	EXT	REF5A10
10574720	62	3	1	40	2_M	Planta	Sants	93393.3	MANZ	NO	INT	REF1A5
15704000	75.5	3	1	28	4_B	Atic	Sants	97379.07	MANZ	SI	INT	REF1A5
6246580	43.99	2	1	60	3_N	Planta	Sants	100036.25	MANZ	NO	EXT	REF10-15
6246580	43.99	2	1	60	3_N	Planta	Sants	100036.25	MANZ	NO	EXT	REF5A10
13650000	78	2	1	80	3_N	Planta	Sants	100036.25	MANZ	NO	EXT	REF5A10
13718000	80	3	1	51	2_M	Planta	Sants	96714.775	MANZ	NO	INT	REF1A5
18324000	76.35	2	1	4	3_N	Planta	Sants	142551.13	MANZ	SI	EXT	SINREFORMA
