199801 168.641 210.846 186.965 178.033 206.221 84.310 244.098 
199802 181.920 222.775 197.497 188.105 222.893 85.340 271.842 
199803 206.051 241.920 243.222 193.483 229.520 83.796 311.814 
199804 206.322 248.753 224.541 193.356 236.395 79.305 305.642 
199805 214.841 263.739 239.937 191.477 232.132 79.454 307.109 
199806 223.469 277.258 225.778 190.232 233.490 80.263 309.972 
199807 222.079 278.177 244.464 190.378 231.698 83.045 320.691 
199808 194.144 228.347 211.470 171.213 196.637 71.530 258.614 
199809 170.013 210.295 187.614 165.179 204.555 67.973 241.302 
199810 187.290 222.638 197.316 177.378 224.103 68.775 270.754 
199811 204.326 238.545 227.340 187.342 237.782 75.464 296.477 
199812 209.604 237.616 235.283 191.866 239.474 70.183 304.491 
199901 226.039 245.861 235.484 192.303 244.101 73.514 306.642 
199902 217.594 233.119 237.891 201.406 242.738 72.847 312.425 
199903 224.872 233.251 249.028 205.326 255.247 82.784 304.116 
199904 234.203 255.962 249.897 213.705 281.404 84.680 311.319 
199905 231.329 240.618 240.995 203.072 275.424 81.690 313.186 
199906 241.181 255.269 241.403 206.083 285.749 88.880 317.344 
199907 232.964 242.139 225.139 203.258 277.911 90.564 295.874 
199908 243.978 250.155 234.122 203.770 282.454 88.407 308.937 
199909 244.095 244.415 234.799 196.667 269.611 89.264 300.821 
199910 259.895 262.240 230.242 204.035 279.859 90.970 305.358 
199911 283.978 279.831 245.288 215.173 283.719 94.094 336.018 
199912 316.763 330.239 287.456 226.034 299.873 96.001 353.884 
200001 300.894 324.423 281.334 204.452 285.356 99.071 341.986 
200002 329.131 362.817 336.149 203.280 264.171 101.199 394.298 
200003 334.187 360.673 313.794 213.314 284.870 103.115 380.347 
200004 341.293 351.907 308.087 206.374 279.966 91.131 367.354 
200005 341.641 337.431 312.144 207.415 274.448 82.809 345.126 
200006 342.719 327.395 314.052 205.894 272.506 88.278 341.775 
200007 347.820 341.261 313.557 207.608 274.439 79.742 342.793 
200008 352.229 342.499 325.736 217.637 292.517 85.490 355.716 
200009 333.154 322.645 312.187 205.290 277.802 79.842 357.505 
200010 340.120 335.901 324.014 209.993 286.154 73.719 341.337 
200011 315.156 302.436 321.514 200.333 271.635 74.271 311.263 
200012 315.068 305.345 303.220 202.952 281.347 69.897 309.021 
 
