Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Preu_mitja_habitatge,Valor
2019,2,9,Sant Andreu,58,Baró de Viver,Nou. Milers d'euros,NA
2019,2,9,Sant Andreu,59,el Bon Pastor,Nou. Milers d'euros,NA
2019,2,9,Sant Andreu,60,Sant Andreu,Nou. Milers d'euros,325.3
2019,2,9,Sant Andreu,61,la Sagrera,Nou. Milers d'euros,NA
2019,2,9,Sant Andreu,62,el Congrés i els Indians,Nou. Milers d'euros,NA
2019,2,9,Sant Andreu,63,Navas,Nou. Milers d'euros,NA
2019,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,Nou. Milers d'euros,411.5
2019,2,10,Sant Martí,65,el Clot,Nou. Milers d'euros,301.8
2019,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Nou. Milers d'euros,NA
2019,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,Nou. Milers d'euros,NA
2019,2,10,Sant Martí,68,el Poblenou,Nou. Milers d'euros,NA
2019,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Nou. Milers d'euros,NA
2019,2,10,Sant Martí,70,el Besòs i el Maresme,Nou. Milers d'euros,480.1
2019,2,10,Sant Martí,71,Provençals del Poblenou,Nou. Milers d'euros,NA
2019,2,10,Sant Martí,72,Sant Martí de Provençals,Nou. Milers d'euros,NA
2019,2,10,Sant Martí,73,la Verneda i la Pau,Nou. Milers d'euros,NA
2019,2,1,Ciutat Vella,1,el Raval,Usat. Milers d'euros,202.8
2019,2,1,Ciutat Vella,2,el Barri Gòtic,Usat. Milers d'euros,394.3
2019,2,1,Ciutat Vella,3,la Barceloneta,Usat. Milers d'euros,221.8
2019,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Usat. Milers d'euros,248.7
2019,2,2,Eixample,5,el Fort Pienc,Usat. Milers d'euros,520.2
2019,2,2,Eixample,6,la Sagrada Família,Usat. Milers d'euros,255.9
2019,2,2,Eixample,7,la Dreta de l'Eixample,Usat. Milers d'euros,568.6
2019,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Usat. Milers d'euros,492.6
2019,2,2,Eixample,9,la Nova Esquerra de l'Eixample,Usat. Milers d'euros,299.2
2019,2,2,Eixample,10,Sant Antoni,Usat. Milers d'euros,310.9
2019,2,3,Sants-Montjuïc,11,el Poble Sec,Usat. Milers d'euros,285.1
2019,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Usat. Milers d'euros,NA
2019,2,3,Sants-Montjuïc,13,la Marina de Port,Usat. Milers d'euros,182.7
2019,2,3,Sants-Montjuïc,14,la Font de la Guatlla,Usat. Milers d'euros,385.5
2019,2,3,Sants-Montjuïc,15,Hostafrancs,Usat. Milers d'euros,366.8
2019,2,3,Sants-Montjuïc,16,la Bordeta,Usat. Milers d'euros,200.7
2019,2,3,Sants-Montjuïc,17,Sants - Badal,Usat. Milers d'euros,245
2019,2,3,Sants-Montjuïc,18,Sants,Usat. Milers d'euros,273
2019,2,4,Les Corts,19,les Corts,Usat. Milers d'euros,416.1
2019,2,4,Les Corts,20,la Maternitat i Sant Ramon,Usat. Milers d'euros,357
2019,2,4,Les Corts,21,Pedralbes,Usat. Milers d'euros,1000.1
2019,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Usat. Milers d'euros,543
2019,2,5,Sarrià-Sant Gervasi,23,Sarrià,Usat. Milers d'euros,860.3
2019,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,Usat. Milers d'euros,743.2
2019,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Usat. Milers d'euros,621.2
2019,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Usat. Milers d'euros,762.3
2019,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Usat. Milers d'euros,479.6
2019,2,6,Gràcia,28,Vallcarca i els Penitents,Usat. Milers d'euros,316
2019,2,6,Gràcia,29,el Coll,Usat. Milers d'euros,130.5
2019,2,6,Gràcia,30,la Salut,Usat. Milers d'euros,362.4
